-98.0762,35.3877,2010,3,11,2.5,0.006,10,6,9,0
-98.0607,35.3984,2010,3,11,2.6,0.093,10,54,25,0
-98.0827,35.3898,2010,3,11,2.8,0.001,13,15,16,0
-98.1049,35.3794,2010,3,11,3.2,0.118,23,57,29,1
-98.0658,35.3573,2010,3,13,3,5,9,2,45,1
-96.7462,35.5054,2010,3,17,2.7,7,20,2,37,1
-97.408,35.524,2010,3,19,2.6,4.1,22,7,27,1
-96.7649,35.5093,2010,3,22,3.7,7,2,37,18,1
-97.4628,36.0915,2010,3,22,2.6,3.184,6,50,30,1
-96.7725,35.5111,2010,3,22,2.8,7,8,20,4,0
-96.7607,35.5368,2010,3,22,2.9,7,9,18,51,0
-96.769,35.5127,2010,3,22,2.6,7,10,4,26,0
-96.7549,35.5002,2010,4,1,2.7,7,15,10,21,1
-97.3232,35.536,2010,4,3,2.8,10.54,13,34,19,1
-97.3257,35.5304,2010,4,3,2.6,5,13,52,18,1
-97.291,35.525,2010,4,3,2.6,4.4,14,34,27,1
-96.7673,35.5223,2010,4,7,2.7,7,14,58,18,1
-97.2967,35.5235,2010,4,8,3.2,6.25,12,42,42,1
-97.3,35.5213,2010,4,10,2.9,8.65,2,49,30,1
-97.144,35.6015,2010,4,12,3,6,4,4,48,1
-97.3012,35.5268,2010,4,18,2.5,7.16,3,5,8,1
-97.2779,35.4958,2010,4,21,2.7,8.04,1,11,13,0
-97.2746,35.4973,2010,4,21,2.7,7.42,16,47,52,1
-97.294,35.531,2010,4,22,2.6,4.4,9,11,42,1
-97.2892,35.5335,2010,4,25,2.6,8.78,22,11,19,0
-97.298,35.529,2010,4,25,2.6,4.7,23,10,27,1
-97.3023,35.5289,2010,4,29,2.6,7.87,9,39,6,1
-97.262,35.493,2010,5,7,2.5,5.5,6,18,5,1
-97.3002,35.5299,2010,5,7,3.2,6.86,12,44,57,1
-97.299,35.528,2010,5,7,2.6,4.7,18,49,19,0
-97.2829,35.5288,2010,5,9,2.5,6.23,0,33,59,0
-97.3044,35.5316,2010,5,9,2.7,7.57,1,11,26,0
-96.772,35.523,2010,5,10,2.7,3.9,14,47,41,1
-97.2739,35.498,2010,5,13,2.5,7.51,17,27,40,1
-97.2818,35.5293,2010,5,13,2.6,10.32,23,21,59,0
-97.239,35.502,2010,5,17,2.5,6.3,20,1,24,1
-97.2225,35.618,2010,6,12,2.7,6,4,29,53,1
-97.4182,35.0123,2010,6,19,2.6,3.477,2,14,32,1
-97.3016,35.5371,2010,6,22,2.6,7.78,23,27,36,1
-97.3111,35.5624,2010,7,1,2.7,5,18,52,39,1
-98.2219,36.8502,2010,7,14,2.8,3.194,13,24,6,1
-97.2588,35.5459,2010,7,26,2.8,6.45,4,59,20,1
-97.2647,35.5532,2010,8,2,3,4.12,9,52,18,1
-97.249,35.553,2010,8,2,2.7,3.8,10,28,2,0
-97.251,35.553,2010,8,2,2.7,4.3,10,35,47,0
-96.7551,35.5054,2010,8,24,2.6,7,18,26,57,0
-96.7673,35.5265,2010,8,24,2.6,7,18,32,26,1
-97.242,35.61,2010,8,28,2.5,4.5,17,8,51,1
-97.2512,35.608,2010,9,1,3.1,6.23,0,46,31,1
-97.2514,35.6139,2010,9,1,2.7,14.66,1,7,34,1
-96.9878,35.5002,2010,9,3,2.7,6,14,28,15,1
-97.2501,35.6064,2010,9,4,3.1,6.59,16,22,9,1
-97.3144,35.5433,2010,9,8,2.5,6.78,0,25,31,0
-97.3043,35.5557,2010,9,8,2.5,7.69,0,28,45,1
-97.239,35.609,2010,9,10,2.5,2.4,15,0,52,0
-97.242,35.611,2010,9,11,2.5,5.3,6,28,4,1
-97.035,35.463,2010,9,11,2.6,1.7,17,5,12,1
-97.2643,35.609,2010,9,15,3,6.52,20,3,53,1
-97.2554,35.6084,2010,9,16,3.4,6.43,21,41,33,0
-97.25,35.611,2010,9,16,2.7,5.3,21,42,33,0
-97.248,35.611,2010,9,16,2.6,3,21,43,17,0
-97.2797,35.6096,2010,9,17,2.6,6.91,20,35,1,0
-97.2569,35.6096,2010,9,19,3.5,6.84,22,1,47,1
-97.2876,35.6159,2010,9,20,2.5,2.95,3,14,9,0
-97.2499,35.6072,2010,9,20,2.6,2.94,3,28,41,0
-97.2751,35.6067,2010,9,22,2.6,6.91,1,35,20,0
-97.189,35.458,2010,9,23,2.5,3.5,10,22,54,1
-97.2526,35.6087,2010,9,24,2.6,7.17,17,3,1,0
-97.3063,35.5622,2010,9,25,2.5,12.85,18,49,10,1
-97.174,35.5761,2010,9,26,2.5,0.012,5,55,10,1
-97.2719,35.6136,2010,9,26,2.5,4.62,10,58,47,0
-97.253,35.6086,2010,10,6,2.5,5,2,4,54,0
-97.3208,35.1755,2010,10,13,4.3,3.137,14,6,30,1
-97.3076,35.18,2010,10,18,2.5,0.004,11,57,27,1
-97.3971,36.0342,2010,10,18,2.5,4.433,14,5,4,1
-97.3232,35.1727,2010,10,19,3.1,0.069,17,53,17,1
-97.2595,35.5853,2010,10,28,2.6,4.63,9,52,52,0
-97.2465,35.5719,2010,10,28,2.6,1.61,9,59,53,1
-97.2321,35.5815,2010,10,29,2.5,2.78,4,18,39,0
-97.2985,35.5523,2010,11,2,2.7,7.33,16,35,37,1
-97.2552,35.609,2010,11,24,3.9,4.31,22,48,29,1
-97.2484,35.5987,2010,11,24,3.1,8.85,23,45,13,0
-97.2516,35.617,2010,11,25,2.7,9.01,16,9,3,0
-97.2419,35.6187,2010,11,25,2.7,5,16,10,3,0
-97.2673,35.618,2010,11,25,2.5,8.39,21,19,56,0
-97.2519,35.6123,2010,11,28,3.1,5.65,2,46,0,0
-97.2434,35.6103,2010,11,28,3,6,3,26,47,0
-97.246,35.5998,2010,11,28,3.3,6.75,3,28,43,0
-97.2472,35.6144,2010,11,28,3.2,6.3,13,46,25,0
-97.2636,35.6076,2010,11,28,2.5,6.85,15,40,31,0
-97.2625,35.615,2010,11,28,2.6,11.69,15,47,14,0
-97.2635,35.618,2010,11,28,2.8,8.22,17,57,29,0
-97.239,35.619,2010,11,28,2.5,2.7,18,39,19,0
-97.2378,35.613,2010,11,29,2.7,4.94,5,15,35,0
-96.8761,35.5367,2010,12,10,2.7,7,2,13,3,1
-96.986,35.437,2010,12,12,3.2,4.6,1,7,56,1
-96.981,35.436,2010,12,12,2.8,2.4,1,10,48,0
-96.984,35.438,2010,12,12,2.7,4.9,1,56,43,0
-96.988,35.435,2010,12,12,2.5,4.4,3,18,37,0
-96.7953,35.8177,2010,12,12,2.5,6.61,8,2,31,1
-97.2695,35.6082,2010,12,14,2.8,3.9,6,7,37,1
-96.984,35.44,2010,12,14,2.5,4.5,17,50,1,1
-97.018,35.465,2010,12,15,2.5,3.3,6,40,19,1
-97.264,35.582,2010,12,15,2.5,3.6,8,8,58,1
-96.8258,35.8202,2010,12,19,3.3,0.57,5,5,28,1
-97.2649,35.5505,2010,12,31,2.5,1.06,11,52,17,1
-96.918,35.84,2011,1,1,2.9,3.8,18,52,2,1
-97.236,35.5454,2011,1,4,2.9,7.62,18,31,36,1
-97.2918,35.5592,2011,1,6,2.6,11.18,6,52,3,1
-96.986,35.437,2011,1,7,2.5,4.9,5,11,9,1
-96.8935,35.791,2011,1,11,2.5,0.16,22,41,2,1
-97.223,35.516,2011,1,12,2.8,5.3,21,12,40,1
-97.2179,35.5078,2011,1,15,3.2,0.98,10,51,30,1
-97.1164,35.6074,2011,1,19,2.8,6,3,53,24,1
-97.0402,35.7767,2011,1,30,2.5,6,6,34,53,1
-97.121,35.607,2011,1,30,2.5,4.1,6,34,56,1
-97.4085,35.4829,2011,2,4,2.7,5.97,2,6,29,1
-97.4192,35.4961,2011,2,4,2.5,6.16,7,28,9,0
-97.407,35.518,2011,2,14,2.5,3.4,2,41,36,1
-97.245,35.538,2011,2,15,2.6,5.1,23,41,21,1
-97.239,35.61,2011,2,17,2.5,4,5,51,42,1
-99.6701,35.7533,2011,2,19,2.6,5,5,39,57,1
-97.0472,35.451,2011,2,22,2.6,6,6,40,51,1
-97.087,35.451,2011,2,26,2.6,2.1,7,38,54,1
