"","UWI","SURFX","SURFY","DATE","INJ","cum_inj","tol_inj","CUMU_INJ"
"65","42121329540000",2073356.964,541393.3458,2013-02-01,380207,20587688,40070952,11309584
"66","42121329540000",2073356.964,541393.3458,2013-03-01,364254,20951942,40070952,12445227
"67","42121329540000",2073356.964,541393.3458,2013-04-01,392514,21344456,40070952,11899338
"68","42121329540000",2073356.964,541393.3458,2013-05-01,474744,21819200,40070952,11963242
"69","42121329540000",2073356.964,541393.3458,2013-06-01,420394,22239594,40070952,11514151
"70","42121329540000",2073356.964,541393.3458,2013-07-01,423387,22662981,40070952,12334827
"71","42121329540000",2073356.964,541393.3458,2013-08-01,371575,23034556,40070952,12036527
"72","42121329540000",2073356.964,541393.3458,2013-09-01,390916,23425472,40070952,11831621
"73","42121329540000",2073356.964,541393.3458,2013-10-01,389960,23815432,40070952,11912081
"74","42121329540000",2073356.964,541393.3458,2013-11-01,419748,24235180,40070952,11402351
"75","42121329540000",2073356.964,541393.3458,2013-12-01,454106,24689286,40070952,10800800
"76","42121329540000",2073356.964,541393.3458,2014-01-01,518817,25208103,40070952,11386084
"77","42121329540000",2073356.964,541393.3458,2014-02-01,415545,25623648,40070952,9936683
"78","42121329540000",2073356.964,541393.3458,2014-03-01,538736,26162384,40070952,12046987
"79","42121329540000",2073356.964,541393.3458,2014-04-01,437254,26599638,40070952,11738869
"80","42121329540000",2073356.964,541393.3458,2014-05-01,459573,27059211,40070952,12165041
"81","42121329540000",2073356.964,541393.3458,2014-06-01,451512,27510723,40070952,11720072
"82","42121329540000",2073356.964,541393.3458,2014-07-01,483309,27994032,40070952,11632955
"83","42121329540000",2073356.964,541393.3458,2014-08-01,381846,28375878,40070952,11280396
"84","42121329540000",2073356.964,541393.3458,2014-09-01,286020,28661898,40070952,10707843
"85","42121329540000",2073356.964,541393.3458,2014-10-01,332496,28994394,40070952,11154961
"86","42121329540000",2073356.964,541393.3458,2014-11-01,425867,29420261,40070952,11006198
"87","42121329540000",2073356.964,541393.3458,2014-12-01,449789,29870050,40070952,11175048
"88","42121329540000",2073356.964,541393.3458,2015-01-01,438144,30308194,40070952,11188192
"89","42121329540000",2073356.964,541393.3458,2015-02-01,324193,30632387,40070952,9285348
"90","42121329540000",2073356.964,541393.3458,2015-03-01,344573,30976960,40070952,11132951
"91","42121329540000",2073356.964,541393.3458,2015-04-01,407501,31384461,40070952,10228970
"92","42121329540000",2073356.964,541393.3458,2015-05-01,486758,31871219,40070952,10731832
"93","42121329540000",2073356.964,541393.3458,2015-06-01,479982,32351201,40070952,10019178
"94","42121329540000",2073356.964,541393.3458,2015-07-01,414021,32765222,40070952,9556838
"95","42121329540000",2073356.964,541393.3458,2015-08-01,447485,33212707,40070952,9046352
"96","42121329540000",2073356.964,541393.3458,2015-09-01,246949,33459656,40070952,8436833
"97","42121329540000",2073356.964,541393.3458,2015-10-01,329093,33788749,40070952,8702949
"98","42121329540000",2073356.964,541393.3458,2015-11-01,432679,34221428,40070952,8702391
"99","42121329540000",2073356.964,541393.3458,2015-12-01,389704,34611132,40070952,8797617
"100","42121329540000",2073356.964,541393.3458,2016-01-01,363427,34974559,40070952,8785697
"101","42121329540000",2073356.964,541393.3458,2016-02-01,354133,35328692,40070952,8098391
"102","42121329540000",2073356.964,541393.3458,2016-03-01,398800,35727492,40070952,8313445
"103","42121329540000",2073356.964,541393.3458,2016-04-01,300702,36028194,40070952,8067410
"104","42121329540000",2073356.964,541393.3458,2016-05-01,265823,36294017,40070952,8687363
"105","42121329540000",2073356.964,541393.3458,2016-06-01,256678,36550695,40070952,8474598
"106","42121329540000",2073356.964,541393.3458,2016-07-01,252463,36803158,40070952,8474294
"107","42121329540000",2073356.964,541393.3458,2016-08-01,269007,37072165,40070952,8424724
"108","42121329540000",2073356.964,541393.3458,2016-09-01,234765,37306930,40070952,7958587
"109","42121329540000",2073356.964,541393.3458,2016-10-01,261396,37568326,40070952,7328643
"110","42121329540000",2073356.964,541393.3458,2016-11-01,251526,37819852,40070952,7108192
"111","42121329540000",2073356.964,541393.3458,2016-12-01,245313,38065165,40070952,7206177
"112","42121329540000",2073356.964,541393.3458,2017-01-01,249055,38314220,40070952,8191419
"113","42121329540000",2073356.964,541393.3458,2017-02-01,201241,38515461,40070952,7284679
"114","42121329540000",2073356.964,541393.3458,2017-03-01,211013,38726474,40070952,7793859
